FISCAL_YEAR,DISTRICT_ID,DISTRICT NAME, PROPTAX , FEDERAL , STATE , LOCAL , TOTAL ,MEMBER
2020-21,63,Albany," $3,040,949.00 "," $453,496.89 "," $3,568,519.32 "," $188,382.29 "," $7,251,347.50 ",410
2020-21,70,Algoma," $3,491,394.00 "," $809,799.56 "," $5,797,295.13 "," $357,689.74 "," $10,456,178.43 ",696
2020-21,84,Alma," $2,197,667.00 "," $345,442.16 "," $1,713,302.90 "," $211,664.55 "," $4,468,076.61 ",222
2020-21,91,Alma Center," $2,899,142.00 "," $1,048,147.24 "," $4,992,180.87 "," $499,542.69 "," $9,439,012.80 ",533
2020-21,105,Almond-Bancroft," $1,940,305.00 "," $598,020.06 "," $4,030,096.15 "," $47,201.32 "," $6,615,622.53 ",438
2020-21,112,Altoona," $6,741,401.00 "," $1,905,334.00 "," $14,188,487.88 "," $218,221.77 "," $23,053,444.65 ",1581
2020-21,119,Amery," $8,312,451.00 "," $2,498,170.23 "," $12,263,989.09 "," $1,738,012.17 "," $24,812,622.49 ",1456
2020-21,140,Antigo," $9,402,036.00 "," $3,550,062.88 "," $18,648,078.45 "," $1,681,409.04 "," $33,281,586.37 ",2175
2020-21,147,Appleton Area," $71,741,179.00 "," $20,271,576.67 "," $118,268,135.50 "," $6,878,030.37 "," $217,158,921.60 ",14581
2020-21,154,Arcadia," $4,864,098.00 "," $2,047,335.58 "," $13,919,911.73 "," $822,182.62 "," $21,653,527.93 ",1255
2020-21,161,Argyle," $1,476,783.00 "," $475,509.75 "," $2,624,295.88 "," $322,170.82 "," $4,898,759.45 ",286
2020-21,2450,Arrowhead UHS," $18,380,438.00 "," $1,350,075.45 "," $7,341,945.87 "," $2,316,489.02 "," $29,388,948.34 ",2040
2020-21,170,Ashland," $6,645,390.00 "," $3,745,658.14 "," $22,092,190.15 "," $639,345.54 "," $33,122,583.83 ",2008
2020-21,182,Ashwaubenon," $16,643,395.00 "," $3,562,077.89 "," $12,024,605.13 "," $1,403,597.87 "," $33,633,675.89 ",2186
2020-21,196,Athens," $2,207,086.00 "," $883,229.65 "," $3,958,583.28 "," $334,248.66 "," $7,383,147.59 ",403
2020-21,203,Auburndale," $2,571,301.00 "," $1,001,491.41 "," $6,990,998.69 "," $714,979.40 "," $11,278,770.50 ",748
2020-21,217,Augusta," $3,540,774.00 "," $1,557,593.68 "," $5,380,107.47 "," $550,089.26 "," $11,028,564.41 ",601
2020-21,231,Baldwin-Woodville Area," $7,271,025.00 "," $1,485,289.85 "," $14,485,633.95 "," $1,341,904.74 "," $24,583,853.54 ",1645
2020-21,245,Bangor," $3,177,317.00 "," $1,191,272.48 "," $5,293,881.27 "," $343,956.40 "," $10,006,427.15 ",604
2020-21,280,Baraboo," $17,641,421.00 "," $3,264,736.76 "," $23,101,366.69 "," $1,425,863.45 "," $45,433,387.90 ",2890
2020-21,287,Barneveld," $2,951,479.00 "," $330,691.70 "," $3,472,420.69 "," $167,617.69 "," $6,922,209.08 ",412
2020-21,308,Barron Area," $5,619,865.00 "," $2,081,287.98 "," $14,040,271.47 "," $1,082,924.74 "," $22,824,349.19 ",1336
2020-21,315,Bayfield," $6,944,524.00 "," $3,834,787.63 "," $1,789,453.29 "," $281,285.12 "," $12,850,050.04 ",431
2020-21,336,Beaver Dam," $16,520,720.00 "," $4,065,551.64 "," $29,757,138.66 "," $1,679,835.75 "," $52,023,246.05 ",3456
2020-21,4263,Beecher-Dunbar-Pembine," $3,537,379.00 "," $377,937.98 "," $939,074.64 "," $121,587.21 "," $4,975,978.83 ",241
2020-21,350,Belleville," $6,831,808.00 "," $790,905.81 "," $6,777,066.12 "," $810,626.10 "," $15,210,406.03 ",918
2020-21,364,Belmont Community," $1,565,451.00 "," $853,416.13 "," $3,353,135.43 "," $245,634.28 "," $6,017,636.84 ",349
2020-21,413,Beloit," $17,522,775.00 "," $13,771,691.97 "," $81,191,819.71 "," $895,575.80 "," $113,381,862.50 ",6484
2020-21,422,Beloit Turner," $5,669,101.00 "," $1,541,250.93 "," $11,500,993.14 "," $318,092.63 "," $19,029,437.70 ",1195
2020-21,427,Benton," $942,666.00 "," $348,639.42 "," $2,492,467.58 "," $143,842.51 "," $3,927,615.51 ",236
2020-21,434,Berlin Area," $6,877,682.00 "," $2,262,854.52 "," $13,390,863.01 "," $1,998,527.71 "," $24,529,927.24 ",1534
2020-21,6013,Big Foot UHS," $8,549,704.00 "," $501,177.66 "," $903,111.90 "," $724,952.33 "," $10,678,945.89 ",505
2020-21,441,Birchwood," $3,952,239.00 "," $490,207.70 "," $655,786.43 "," $314,327.99 "," $5,412,561.12 ",204
2020-21,2240,Black Hawk," $1,420,413.00 "," $632,973.96 "," $3,641,918.15 "," $1,667,218.48 "," $7,362,523.59 ",397
2020-21,476,Black River Falls," $8,685,395.00 "," $3,667,492.09 "," $14,952,066.34 "," $814,501.62 "," $28,119,455.05 ",1713
2020-21,485,Blair-Taylor," $4,203,264.00 "," $1,062,550.54 "," $4,879,140.46 "," $753,470.66 "," $10,898,425.66 ",633
2020-21,497,Bloomer," $6,230,283.00 "," $1,084,519.96 "," $11,088,034.07 "," $369,310.46 "," $18,772,147.49 ",1197
2020-21,602,Bonduel," $4,473,414.00 "," $978,313.11 "," $6,202,128.66 "," $183,401.56 "," $11,837,257.33 ",760
2020-21,609,Boscobel," $3,391,175.00 "," $1,166,310.14 "," $8,101,857.49 "," $343,365.99 "," $13,002,708.62 ",772
2020-21,623,Bowler," $1,668,999.00 "," $2,101,277.15 "," $4,112,486.82 "," $156,602.80 "," $8,039,365.77 ",390
2020-21,637,Boyceville Community," $3,019,120.00 "," $1,297,158.37 "," $6,825,153.10 "," $285,337.48 "," $11,426,768.95 ",700
2020-21,657,Brighton #1," $1,163,071.00 "," $187,732.07 "," $420,178.71 "," $41,362.70 "," $1,812,344.48 ",127
2020-21,658,Brillion," $4,023,704.00 "," $918,261.49 "," $7,593,023.69 "," $1,325,602.32 "," $13,860,591.50 ",878
2020-21,665,Bristol #1," $5,134,544.00 "," $538,279.10 "," $4,822,521.97 "," $196,712.67 "," $10,692,057.74 ",736
2020-21,700,Brodhead," $4,085,109.00 "," $1,292,400.74 "," $8,490,722.92 "," $311,344.74 "," $14,179,577.40 ",970
2020-21,721,Brown Deer," $12,518,924.00 "," $2,094,938.39 "," $14,301,770.91 "," $851,868.74 "," $29,767,502.04 ",1677
2020-21,735,Bruce," $2,716,070.00 "," $770,226.12 "," $3,727,546.41 "," $478,754.36 "," $7,692,596.89 ",503
2020-21,777,Burlington Area," $22,277,787.00 "," $4,185,681.70 "," $22,590,824.01 "," $1,412,025.19 "," $50,466,317.90 ",3367
2020-21,840,Butternut," $1,250,937.00 "," $382,225.14 "," $1,235,652.66 "," $86,445.64 "," $2,955,260.44 ",134
2020-21,870,Cadott Community," $5,010,573.00 "," $1,061,400.63 "," $8,302,332.87 "," $504,871.81 "," $14,879,178.31 ",831
2020-21,882,Cambria-Friesland," $2,553,796.00 "," $815,323.26 "," $3,591,318.90 "," $331,149.57 "," $7,291,587.73 ",344
2020-21,896,Cambridge," $7,049,976.00 "," $957,470.23 "," $5,396,511.64 "," $641,511.50 "," $14,045,469.37 ",870
2020-21,903,Cameron," $3,777,580.00 "," $1,268,240.08 "," $9,020,203.65 "," $450,828.38 "," $14,516,852.11 ",872
2020-21,910,Campbellsport," $9,859,523.00 "," $1,177,347.50 "," $8,603,737.75 "," $311,695.40 "," $19,952,303.65 ",1325
2020-21,980,Cashton," $2,004,806.00 "," $1,427,586.93 "," $5,738,679.06 "," $273,159.56 "," $9,444,231.55 ",563
2020-21,994,Cassville," $1,651,231.00 "," $481,590.00 "," $1,878,717.94 "," $221,270.21 "," $4,232,809.15 ",236
2020-21,1029,Cedar Grove-Belgium Area," $5,611,544.00 "," $757,152.38 "," $7,215,903.34 "," $461,984.27 "," $14,046,583.99 ",974
2020-21,1015,Cedarburg," $24,247,442.24 "," $2,890,012.59 "," $15,838,002.14 "," $1,403,513.26 "," $44,378,970.23 ",3076
2020-21,5054,Central/Westosha UHS," $8,846,837.00 "," $472,437.84 "," $6,445,508.16 "," $880,355.03 "," $16,645,138.03 ",1141
2020-21,1071,Chequamegon," $6,627,626.00 "," $1,435,603.86 "," $3,943,277.27 "," $629,639.00 "," $12,636,146.13 ",741
2020-21,1080,Chetek-Weyerhaeuser," $9,612,304.00 "," $1,672,891.04 "," $5,154,249.69 "," $742,569.31 "," $17,182,014.04 ",1056
2020-21,1085,Chilton," $6,522,514.00 "," $1,359,780.76 "," $8,511,774.67 "," $850,865.44 "," $17,244,934.87 ",1082
2020-21,1092,Chippewa Falls Area," $27,778,676.00 "," $5,877,838.48 "," $37,898,106.67 "," $2,354,198.24 "," $73,908,819.39 ",5057
2020-21,1120,Clayton," $1,356,226.00 "," $615,702.69 "," $3,193,643.65 "," $263,430.41 "," $5,429,002.75 ",300
2020-21,1127,Clear Lake," $2,483,348.00 "," $996,616.87 "," $6,029,187.89 "," $267,139.98 "," $9,776,292.74 ",589
2020-21,1134,Clinton Community," $4,882,697.00 "," $1,496,121.00 "," $8,597,195.69 "," $289,369.18 "," $15,265,382.87 ",975
2020-21,1141,Clintonville," $7,320,233.00 "," $1,937,913.11 "," $12,010,184.82 "," $1,021,368.56 "," $22,289,699.49 ",1231
2020-21,1155,Cochrane-Fountain City," $4,036,285.00 "," $708,688.63 "," $4,106,946.11 "," $362,371.77 "," $9,214,291.51 ",581
2020-21,1162,Colby," $3,468,657.00 "," $742,284.08 "," $9,211,026.17 "," $653,629.96 "," $14,075,597.21 ",990
2020-21,1169,Coleman," $5,034,320.00 "," $1,003,156.82 "," $5,357,634.08 "," $703,996.03 "," $12,099,106.93 ",689
2020-21,1176,Colfax," $3,135,554.00 "," $1,172,852.68 "," $6,723,490.44 "," $244,725.98 "," $11,276,623.10 ",757
2020-21,1183,Columbus," $8,537,125.00 "," $1,113,201.33 "," $9,105,411.65 "," $324,330.15 "," $19,080,068.13 ",1231
2020-21,1204,Cornell," $1,365,081.00 "," $1,272,409.96 "," $4,012,840.01 "," $167,287.94 "," $6,817,618.91 ",405
2020-21,1218,Crandon," $7,265,701.74 "," $2,222,846.30 "," $4,877,296.40 "," $186,994.19 "," $14,552,838.63 ",897
2020-21,1232,Crivitz," $6,396,488.00 "," $1,012,686.63 "," $2,550,499.57 "," $567,636.80 "," $10,527,311.00 ",753
2020-21,1246,Cuba City," $3,971,790.00 "," $936,347.65 "," $5,564,663.75 "," $291,768.24 "," $10,764,569.64 ",611
2020-21,1253,Cudahy," $10,623,679.00 "," $3,503,713.93 "," $24,285,150.17 "," $1,480,982.68 "," $39,893,525.78 ",2345
2020-21,1260,Cumberland," $6,974,734.00 "," $1,873,718.79 "," $6,111,897.51 "," $650,470.44 "," $15,610,820.74 ",912
2020-21,4970,D C Everest Area," $27,480,691.00 "," $7,865,477.62 "," $52,578,568.35 "," $3,008,063.53 "," $90,932,800.50 ",5883
2020-21,1295,Darlington Community," $3,926,298.00 "," $1,297,819.68 "," $8,035,341.96 "," $1,681,717.10 "," $14,941,176.74 ",865
2020-21,1421,De Soto Area," $3,601,185.00 "," $872,110.65 "," $3,980,984.81 "," $651,609.99 "," $9,105,890.45 ",528
2020-21,1309,Deerfield Community," $5,101,327.85 "," $608,607.47 "," $6,124,653.83 "," $144,794.61 "," $11,979,383.76 ",740
2020-21,1316,Deforest Area," $34,503,905.00 "," $2,157,072.29 "," $24,403,356.96 "," $1,111,201.81 "," $62,175,536.06 ",3847
2020-21,1380,Delavan-Darien," $17,701,290.00 "," $3,856,970.04 "," $15,376,785.64 "," $793,296.32 "," $37,728,342.00 ",2526
2020-21,1407,Denmark," $7,305,450.00 "," $1,482,670.24 "," $11,328,346.84 "," $608,723.90 "," $20,725,190.98 ",1461
2020-21,1414,Depere," $16,732,516.00 "," $3,756,188.03 "," $30,666,813.37 "," $1,044,516.79 "," $52,200,034.19 ",4129
2020-21,2744,Dodgeland," $4,030,457.00 "," $1,224,777.99 "," $7,140,905.37 "," $354,155.67 "," $12,750,296.03 ",695
2020-21,1428,Dodgeville," $7,920,578.00 "," $1,250,954.22 "," $10,307,162.41 "," $263,182.94 "," $19,741,877.57 ",1221
2020-21,1449,Dover #1," $628,934.00 "," $95,329.63 "," $667,835.29 "," $73,699.03 "," $1,465,797.95 ",91
2020-21,1491,Drummond," $3,945,170.00 "," $881,721.87 "," $1,147,762.92 "," $203,431.55 "," $6,178,086.34 ",368
2020-21,1499,Durand-Arkansaw," $4,887,652.00 "," $1,418,579.27 "," $8,056,275.16 "," $895,667.57 "," $15,258,174.00 ",1010
2020-21,1540,East Troy Community," $15,473,350.00 "," $1,928,794.69 "," $8,155,240.97 "," $705,507.63 "," $26,262,893.29 ",1665
2020-21,1554,Eau Claire Area," $60,282,371.00 "," $12,206,120.08 "," $84,947,425.36 "," $4,520,111.55 "," $161,956,028.00 ",11279
2020-21,1561,Edgar," $2,506,422.00 "," $954,512.32 "," $6,014,355.19 "," $1,228,536.15 "," $10,703,825.66 ",586
2020-21,1568,Edgerton," $12,699,518.00 "," $1,627,557.52 "," $14,682,396.70 "," $1,162,722.33 "," $30,172,194.55 ",1950
2020-21,1582,Elcho," $5,041,036.00 "," $477,359.05 "," $676,095.30 "," $372,734.51 "," $6,567,224.86 ",284
2020-21,1600,Eleva-Strum," $3,094,630.00 "," $672,987.73 "," $6,398,483.63 "," $621,775.61 "," $10,787,876.97 ",621
2020-21,1645,Elk Mound Area," $3,335,498.00 "," $1,208,111.50 "," $9,839,623.94 "," $406,707.76 "," $14,789,941.20 ",1059
2020-21,1631,Elkhart Lake-Glenbeulah," $5,939,157.00 "," $409,645.31 "," $972,337.83 "," $744,841.48 "," $8,065,981.62 ",430
2020-21,1638,Elkhorn Area," $20,715,276.00 "," $3,694,841.46 "," $20,430,829.57 "," $1,315,883.65 "," $46,156,830.68 ",3064
2020-21,1659,Ellsworth Community," $9,535,774.00 "," $2,098,234.32 "," $13,608,359.96 "," $737,544.56 "," $25,979,912.84 ",1670
2020-21,714,Elmbrook," $88,679,656.00 "," $5,687,453.12 "," $14,415,626.97 "," $4,205,505.17 "," $112,988,241.30 ",7367
2020-21,1666,Elmwood," $1,958,049.00 "," $474,854.39 "," $3,194,399.97 "," $420,283.33 "," $6,047,586.69 ",316
2020-21,1687,Erin," $2,223,100.00 "," $375,124.05 "," $817,448.95 "," $165,971.15 "," $3,581,644.15 ",229
2020-21,1694,Evansville Community," $9,713,073.00 "," $1,591,517.14 "," $15,733,577.51 "," $479,415.66 "," $27,517,583.31 ",1721
2020-21,1729,Fall Creek," $3,847,851.00 "," $948,072.66 "," $6,696,567.36 "," $190,426.20 "," $11,682,917.22 ",748
2020-21,1736,Fall River," $2,426,090.00 "," $511,345.39 "," $4,015,786.97 "," $463,659.81 "," $7,416,882.17 ",500
2020-21,1813,Fennimore Community," $2,953,871.00 "," $1,515,797.89 "," $7,701,482.98 "," $252,959.22 "," $12,424,111.09 ",715
2020-21,5757,Flambeau," $2,566,356.00 "," $1,293,416.77 "," $5,376,510.47 "," $825,223.29 "," $10,061,506.53 ",551
2020-21,1855,Florence," $6,541,139.00 "," $678,898.31 "," $1,929,266.16 "," $254,553.05 "," $9,403,856.52 ",455
2020-21,1862,Fond Du Lac," $34,239,823.00 "," $8,638,845.85 "," $59,628,382.85 "," $2,534,843.00 "," $105,041,894.70 ",7256
2020-21,1870,Fontana J8," $3,240,602.00 "," $255,847.91 "," $271,614.90 "," $163,385.08 "," $3,931,449.89 ",151
2020-21,1883,Fort Atkinson," $18,101,652.00 "," $2,638,914.51 "," $22,276,270.34 "," $759,708.16 "," $43,776,545.01 ",2628
2020-21,1890,Fox Point J2," $11,741,055.00 "," $584,959.86 "," $1,404,748.76 "," $547,934.81 "," $14,278,698.43 ",728
2020-21,1900,Franklin Public," $34,714,826.00 "," $4,220,917.23 "," $27,165,680.18 "," $1,975,827.01 "," $68,077,250.42 ",4410
2020-21,1939,Frederic," $3,463,124.00 "," $975,197.33 "," $4,113,294.61 "," $771,860.39 "," $9,323,476.33 ",508
2020-21,1953,Freedom Area," $7,125,038.00 "," $1,084,173.21 "," $11,872,660.24 "," $820,489.56 "," $20,902,361.01 ",1614
2020-21,2009,Gale-Ettrick-Trempealeau," $7,975,126.00 "," $1,458,481.73 "," $11,775,268.17 "," $679,281.59 "," $21,888,157.49 ",1412
2020-21,2044,Geneva J4," $2,212,699.00 "," $140,321.81 "," $184,920.18 "," $80,574.17 "," $2,618,515.16 ",108
2020-21,2051,Genoa City J2," $3,374,989.00 "," $316,565.31 "," $5,411,711.54 "," $47,125.89 "," $9,150,391.74 ",591
2020-21,2058,Germantown," $37,662,126.00 "," $2,279,477.69 "," $16,280,136.14 "," $1,814,507.78 "," $58,036,247.61 ",3887
2020-21,2114,Gibraltar Area," $12,382,838.00 "," $639,271.73 "," $1,309,855.55 "," $367,679.96 "," $14,699,645.24 ",501
2020-21,2128,Gillett," $3,206,906.00 "," $944,222.93 "," $5,201,142.57 "," $660,344.62 "," $10,012,616.12 ",561
2020-21,2135,Gilman," $2,777,498.00 "," $1,261,468.56 "," $2,930,168.85 "," $328,921.04 "," $7,298,056.45 ",334
2020-21,2142,Gilmanton," $1,414,280.00 "," $306,905.17 "," $1,300,409.56 "," $97,767.61 "," $3,119,362.34 ",163
2020-21,2184,Glendale-River Hills," $13,801,796.00 "," $877,016.13 "," $2,428,156.25 "," $578,844.47 "," $17,685,812.85 ",928
2020-21,2198,Glenwood City," $2,835,436.00 "," $749,795.70 "," $6,551,834.16 "," $1,034,604.43 "," $11,171,670.29 ",699
2020-21,2212,Goodman-Armstrong," $1,992,292.00 "," $259,672.92 "," $412,832.33 "," $135,817.25 "," $2,800,614.50 ",105
2020-21,2217,Grafton," $18,774,138.00 "," $2,014,244.61 "," $9,331,475.98 "," $1,281,567.17 "," $31,401,425.76 ",1963
2020-21,2226,Granton Area," $1,134,291.00 "," $1,295,323.84 "," $2,245,050.90 "," $417,613.44 "," $5,092,279.18 ",241
2020-21,2233,Grantsburg," $3,417,979.00 "," $1,459,228.12 "," $6,838,111.05 "," $362,136.45 "," $12,077,454.62 ",835
2020-21,2289,Green Bay Area," $95,574,859.00 "," $40,212,290.32 "," $204,199,794.00 "," $4,327,007.94 "," $344,313,951.30 ",21423
2020-21,2310,Green Lake," $4,540,348.00 "," $277,028.08 "," $447,409.15 "," $273,145.42 "," $5,537,930.65 ",275
2020-21,2296,Greendale," $15,670,083.00 "," $2,230,104.81 "," $20,626,571.99 "," $1,407,513.48 "," $39,934,273.28 ",2564
2020-21,2303,Greenfield," $20,554,203.00 "," $6,148,247.43 "," $25,632,408.08 "," $974,837.12 "," $53,309,695.63 ",3471
2020-21,2394,Greenwood," $2,404,222.00 "," $924,377.41 "," $3,498,564.24 "," $289,681.85 "," $7,116,845.50 ",384
2020-21,2415,Gresham," $1,907,389.00 "," $686,690.73 "," $2,211,845.09 "," $203,667.29 "," $5,009,592.11 ",241
2020-21,2420,Hamilton," $33,205,087.00 "," $2,583,633.32 "," $30,355,026.22 "," $2,221,632.85 "," $68,365,379.39 ",4950
2020-21,2443,Hartford J1," $10,684,218.00 "," $1,810,519.87 "," $14,861,059.18 "," $431,820.75 "," $27,787,617.80 ",1927
2020-21,2436,Hartford UHS," $11,290,979.00 "," $1,250,641.44 "," $8,094,488.29 "," $755,133.36 "," $21,391,242.09 ",1517
2020-21,2460,Hartland-Lakeside J3," $7,738,249.00 "," $822,800.61 "," $6,593,659.81 "," $1,002,498.71 "," $16,157,208.13 ",1166
2020-21,2478,Hayward Community," $19,485,452.00 "," $4,242,222.85 "," $3,899,567.49 "," $751,129.70 "," $28,378,372.04 ",1751
2020-21,2525,Herman-Neosho-Rubicon," $2,636,501.00 "," $366,300.98 "," $2,351,950.81 "," $105,450.34 "," $5,460,203.13 ",327
2020-21,2527,Highland," $1,354,655.00 "," $339,404.47 "," $3,292,664.83 "," $248,211.63 "," $5,234,935.93 ",311
2020-21,2534,Hilbert," $2,578,374.00 "," $497,518.01 "," $4,164,621.28 "," $1,323,300.31 "," $8,563,813.60 ",466
2020-21,2541,Hillsboro," $2,472,974.00 "," $1,999,863.78 "," $4,995,558.13 "," $718,500.84 "," $10,186,896.75 ",498
2020-21,2562,Holmen," $19,534,548.00 "," $3,665,004.32 "," $36,505,253.12 "," $1,691,808.86 "," $61,396,614.30 ",4142
2020-21,2570,Holy Hill Area," $5,285,008.00 "," $510,896.77 "," $1,845,392.14 "," $415,626.72 "," $8,056,923.63 ",505
2020-21,2576,Horicon," $4,788,040.00 "," $1,325,508.37 "," $6,508,188.68 "," $1,342,626.72 "," $13,964,363.77 ",812
2020-21,2583,Hortonville," $20,478,084.00 "," $2,679,554.69 "," $29,261,453.31 "," $3,086,003.01 "," $55,505,095.01 ",4062
2020-21,2605,Howards Grove," $4,697,191.00 "," $600,719.66 "," $6,227,227.56 "," $415,870.20 "," $11,941,008.42 ",813
2020-21,2604,Howard-Suamico," $30,375,445.00 "," $8,844,869.64 "," $44,013,854.20 "," $1,890,311.11 "," $85,124,479.95 ",5535
2020-21,2611,Hudson," $49,811,272.00 "," $3,972,605.16 "," $30,384,392.54 "," $3,068,130.24 "," $87,236,399.94 ",5360
2020-21,2618,Hurley," $2,774,576.00 "," $894,208.32 "," $4,062,847.35 "," $962,143.28 "," $8,693,774.95 ",503
2020-21,2625,Hustisford," $3,293,548.00 "," $649,939.47 "," $2,261,862.48 "," $303,431.99 "," $6,508,781.94 ",391
2020-21,2632,Independence," $1,811,532.00 "," $811,327.84 "," $4,544,518.66 "," $186,253.99 "," $7,353,632.49 ",473
2020-21,2639,Iola-Scandinavia," $4,631,161.00 "," $743,946.70 "," $5,061,496.84 "," $715,518.28 "," $11,152,122.82 ",649
2020-21,2646,Iowa-Grant," $3,058,410.00 "," $922,806.04 "," $7,204,059.49 "," $242,816.49 "," $11,428,092.02 ",702
2020-21,2660,Ithaca," $1,491,613.00 "," $464,139.39 "," $3,321,741.75 "," $655,763.42 "," $5,933,257.56 ",295
2020-21,2695,Janesville," $42,373,295.00 "," $16,313,631.30 "," $78,954,599.78 "," $1,683,816.64 "," $139,325,342.70 ",9130
2020-21,2702,Jefferson," $12,172,553.00 "," $2,810,134.09 "," $14,764,105.16 "," $1,540,020.68 "," $31,286,812.93 ",1799
2020-21,2730,Johnson Creek," $5,507,775.00 "," $443,881.40 "," $5,852,118.55 "," $475,986.67 "," $12,279,761.62 ",684
2020-21,2737,Juda," $1,710,163.00 "," $487,343.29 "," $2,181,625.65 "," $391,916.43 "," $4,771,048.37 ",228
2020-21,2758,Kaukauna Area," $21,815,450.00 "," $3,409,907.45 "," $37,492,377.57 "," $1,403,534.60 "," $64,121,269.62 ",4790
2020-21,2793,Kenosha," $95,574,353.00 "," $27,634,560.47 "," $177,679,112.90 "," $5,323,400.05 "," $306,211,426.40 ",20051
2020-21,1376,Kettle Moraine," $39,583,137.00 "," $3,049,375.06 "," $14,467,978.95 "," $2,805,594.30 "," $59,906,085.31 ",3397
2020-21,2800,Kewaskum," $11,299,763.00 "," $2,266,634.55 "," $11,691,612.05 "," $732,756.18 "," $25,990,765.78 ",1832
2020-21,2814,Kewaunee," $6,005,687.00 "," $990,523.31 "," $7,527,362.67 "," $550,952.98 "," $15,074,525.96 ",971
2020-21,5960,Kickapoo Area," $1,765,004.00 "," $1,315,573.81 "," $4,340,109.32 "," $597,464.11 "," $8,018,151.24 ",429
2020-21,2828,Kiel Area," $7,586,292.31 "," $1,089,849.85 "," $8,828,915.53 "," $884,215.11 "," $18,389,272.80 ",1218
2020-21,2835,Kimberly Area," $16,044,129.00 "," $2,285,730.26 "," $40,629,900.16 "," $2,244,430.78 "," $61,204,190.20 ",4773
2020-21,2842,Kohler," $6,162,170.00 "," $196,869.06 "," $1,063,949.38 "," $1,115,404.75 "," $8,538,393.19 ",469
2020-21,2849,La Crosse," $48,711,725.00 "," $8,614,537.74 "," $46,235,105.53 "," $3,377,834.40 "," $106,939,202.70 ",6300
2020-21,1848,Lac Du Flambeau #1," $6,650,000.00 "," $7,067,805.81 "," $2,863,481.95 "," $347,725.92 "," $16,929,013.68 ",568
2020-21,2856,Ladysmith," $3,257,500.00 "," $1,735,831.76 "," $8,183,119.16 "," $392,430.36 "," $13,568,881.28 ",757
2020-21,2863,Lafarge," $1,346,069.00 "," $923,808.30 "," $2,607,321.94 "," $491,696.56 "," $5,368,895.80 ",250
2020-21,3862,Lake Country," $4,000,415.00 "," $487,762.94 "," $598,531.46 "," $175,476.79 "," $5,262,186.19 ",361
2020-21,2885,Lake Geneva J1," $16,983,028.00 "," $2,389,393.70 "," $8,722,088.28 "," $336,221.16 "," $28,430,731.14 ",1846
2020-21,2884,Lake Geneva-Genoa UHS," $17,144,383.00 "," $1,567,134.94 "," $3,085,992.31 "," $554,507.90 "," $22,352,018.15 ",1281
2020-21,2891,Lake Holcombe," $3,939,574.00 "," $735,852.19 "," $1,095,278.53 "," $162,994.64 "," $5,933,699.36 ",283
2020-21,2898,Lake Mills Area," $9,965,595.00 "," $1,362,875.30 "," $11,013,963.20 "," $752,683.59 "," $23,095,117.09 ",1583
2020-21,3647,Lakeland UHS," $11,866,781.00 "," $2,421,896.64 "," $2,218,837.56 "," $1,248,401.36 "," $17,755,916.56 ",731
2020-21,2912,Lancaster Community," $3,522,025.00 "," $1,604,482.02 "," $9,267,877.49 "," $749,615.68 "," $15,144,000.19 ",976
2020-21,2940,Laona," $1,797,103.00 "," $502,846.21 "," $1,985,646.45 "," $306,691.65 "," $4,592,287.31 ",236
2020-21,2961,Lena," $2,089,686.00 "," $411,809.74 "," $3,745,866.86 "," $458,044.52 "," $6,705,407.12 ",400
2020-21,3087,Linn J4," $1,820,647.00 "," $82,307.54 "," $192,602.61 "," $11,298.15 "," $2,106,855.30 ",102
2020-21,3094,Linn J6," $1,698,933.00 "," $218,241.27 "," $173,727.09 "," $115,722.90 "," $2,206,624.26 ",102
2020-21,3129,Little Chute Area," $5,337,032.00 "," $1,319,331.48 "," $11,376,142.81 "," $878,871.98 "," $18,911,378.27 ",1304
2020-21,3150,Lodi," $14,770,650.00 "," $1,213,526.86 "," $7,622,642.68 "," $565,216.32 "," $24,172,035.86 ",1464
2020-21,3171,Lomira," $5,677,405.00 "," $915,321.69 "," $9,003,816.83 "," $709,183.75 "," $16,305,727.27 ",1064
2020-21,3206,Loyal," $1,860,647.00 "," $853,777.91 "," $5,187,945.24 "," $442,326.40 "," $8,344,696.55 ",520
2020-21,3213,Luck," $2,674,496.00 "," $725,716.65 "," $4,020,126.36 "," $521,520.64 "," $7,941,859.65 ",501
2020-21,3220,Luxemburg-Casco," $9,392,429.00 "," $1,970,375.00 "," $14,245,367.71 "," $1,056,465.48 "," $26,664,637.19 ",1773
2020-21,3269,Madison Metropolitan," $350,039,592.00 "," $32,816,267.85 "," $95,609,821.35 "," $13,519,079.67 "," $491,984,760.90 ",26962
2020-21,3276,Manawa," $3,666,797.00 "," $911,607.86 "," $5,610,063.45 "," $596,345.88 "," $10,784,814.19 ",682
2020-21,3290,Manitowoc," $21,055,820.00 "," $6,700,707.20 "," $43,443,270.03 "," $676,178.54 "," $71,875,975.77 ",5136
2020-21,3297,Maple," $9,597,985.00 "," $1,392,941.44 "," $8,951,089.18 "," $1,083,080.16 "," $21,025,095.78 ",1236
2020-21,1897,Maple Dale-Indian Hill," $8,272,739.00 "," $500,253.92 "," $786,546.24 "," $232,077.63 "," $9,791,616.79 ",400
2020-21,3304,Marathon City," $4,503,858.00 "," $488,664.06 "," $4,993,064.01 "," $477,278.31 "," $10,462,864.38 ",674
